model,trait,human_n,ai_n,human_mean,ai_mean,human_sd,ai_sd,mean_diff_human_minus_ai,welch_t,p_value,hedges_g,ci_low,ci_high,p_fdr
claude-haiku-4.5,Agreeableness,500703,10000,3.785684926992648,4.04422,0.7221050995095473,0.09840508094603437,-0.25853507300735235,-182.3673173078336,0.0,-0.36151938768173364,-0.2613137178245214,-0.25575642819017796,0.0
claude-sonnet-4.6,Agreeableness,500703,10000,3.785684926992648,4.074269999999999,0.7221050995095473,0.06715220057305774,-0.2885850730073516,-236.23195520895865,0.0,-0.4035794148734682,-0.2909794284468651,-0.2861907175678381,0.0
deepseek-v3.2,Agreeableness,500703,10000,3.785684926992648,4.64003,0.7221050995095473,0.272888339627384,-0.8543450730073525,-293.241351398219,0.0,-1.19318433354698,-0.8600558694189857,-0.8486342765957158,0.0
gemini-3-flash-preview,Agreeableness,500703,10000,3.785684926992648,4.40799,0.7221050995095473,0.084248855701242,-0.622305073007352,-470.2579799218864,0.0,-0.8702358342480302,-0.6248988000266421,-0.6197113459880851,0.0
gemini-3.1-flash-lite-preview,Agreeableness,500703,10000,3.785684926992648,4.190180000000001,0.7221050995095473,0.19982882864110388,-0.4044950730073529,-180.27368180443486,0.0,-0.5652935727393336,-0.4088931427912129,-0.40009700322348396,0.0
gpt-5.4,Agreeableness,500703,10000,3.785684926992648,4.69615,0.7221050995095473,0.1263399132395133,-0.9104650730073525,-560.6090222208469,0.0,-1.2729848319449049,-0.913648322768842,-0.9072818232458345,0.0
gpt-5.4-mini,Agreeableness,500703,10000,3.785684926992648,4.15025,0.7221050995095473,0.16803797539877002,-0.36456507300735197,-185.4366707137944,0.0,-0.5096042031809539,-0.36841857567106395,-0.36071157034362933,0.0
gpt-5.4-nano,Agreeableness,500703,10000,3.785684926992648,4.044040000000001,0.7221050995095473,0.08655187763851378,-0.25835507300735294,-193.07506185549136,0.0,-0.36128284857454,-0.26097777206010375,-0.2557323739545986,0.0
claude-haiku-4.5,Conscientiousness,500703,10000,3.349078595494735,4.0145800000000005,0.7337257638320747,0.20836450075892873,-0.6655014045052656,-285.9424980939019,0.0,-0.9152902352641683,-0.6700633718803926,-0.6609394371301334,0.0
claude-sonnet-4.6,Conscientiousness,500703,10000,3.349078595494735,3.5427199999999996,0.7337257638320747,0.07732787052516059,-0.1936414045052648,-149.7028633230585,0.0,-0.26650744641063767,-0.1961766694769666,-0.19110613953357097,0.0
deepseek-v3.2,Conscientiousness,500703,10000,3.349078595494735,4.11538,0.7337257638320747,0.4790724440423014,-0.7663014045052652,-156.33519253368172,0.0,-1.0503112833662043,-0.7759095359368274,-0.7566932730737047,0.0
gemini-3-flash-preview,Conscientiousness,500703,10000,3.349078595494735,4.48653,0.7337257638320747,0.07958764049305578,-1.1374514045052653,-870.1834213272381,0.0,-1.5654569166285925,-1.1400133965579935,-1.1348894124525424,0.0
gemini-3.1-flash-lite-preview,Conscientiousness,500703,10000,3.349078595494735,4.11105,0.7337257638320747,0.15080176264607031,-0.7619714045052648,-416.3521797555859,0.0,-1.0483706530120513,-0.7655585605254553,-0.7583842484850671,0.0
gpt-5.4,Conscientiousness,500703,10000,3.349078595494735,4.0403199999999995,0.7337257638320747,0.14157790092455472,-0.6912414045052646,-393.89529424523727,0.0,-0.9511031759531503,-0.6946810955962691,-0.6878017134142601,0.0
