model,trait,human_n_used,ai_n_used,wasserstein,wasserstein_perm_p,energy_distance,ks_stat,ks_p,brown_forsythe_stat,brown_forsythe_p,human_skew,ai_skew,human_kurtosis,ai_kurtosis,wasserstein_perm_p_fdr,ks_p_fdr,brown_forsythe_p_fdr
claude-haiku-4.5,Extraversion,5000,5000,0.68116,0.000999000999000999,0.6077764852312073,0.4582,0.0,7214.370769622396,0.0,0.04988539082668315,-3.5224295234128156,-0.7069779414573034,11.322865081247825,0.000999000999000999,0.0,0.0
claude-haiku-4.5,Emotional_Stability,5000,5000,0.49548,0.000999000999000999,0.5185560876125167,0.4986,0.0,3244.942420124943,0.0,0.08988891579174528,0.8518985652284624,-0.5707340002848262,-0.721426220439727,0.000999000999000999,0.0,0.0
claude-haiku-4.5,Agreeableness,5000,5000,0.5423600000000001,0.000999000999000999,0.5519647090167994,0.491,0.0,6092.842004647398,0.0,-0.6792418999519994,-6.632709417545895,0.2340690989604739,66.9514536890915,0.000999000999000999,0.0,0.0
claude-haiku-4.5,Conscientiousness,5000,5000,0.7869199999999998,0.000999000999000999,0.8263852660835622,0.6466000000000001,0.0,5764.759515200824,0.0,-0.08656955947946132,-2.743126598821959,-0.4378949218368118,6.861855153106269,0.000999000999000999,0.0,0.0
claude-haiku-4.5,Openness,5000,5000,0.47028000000000003,0.000999000999000999,0.5197552654855937,0.4726000000000001,0.0,7493.043095262095,0.0,-0.46828399022502853,-4.384452786887798,-0.03783354362407909,23.73421351431177,0.000999000999000999,0.0,0.0
claude-sonnet-4.6,Extraversion,5000,5000,0.7526999999999999,0.000999000999000999,0.6689153788036272,0.481,0.0,10300.920522248553,0.0,0.08325060223866361,1.1626320823962886,-0.7585005949005938,-0.48760193677862507,0.000999000999000999,0.0,0.0
claude-sonnet-4.6,Emotional_Stability,5000,5000,0.8467,0.000999000999000999,0.843247242509574,0.7114,0.0,10453.526324207876,0.0,0.08215685652189661,8.488453472567405,-0.6182346317048726,162.95199684003956,0.000999000999000999,0.0,0.0
claude-sonnet-4.6,Agreeableness,5000,5000,0.55118,0.000999000999000999,0.5649026464799046,0.5522,0.0,6141.018811797801,0.0,-0.682018892387821,1.0239709766027547,0.34501495823805506,3.361893663111994,0.000999000999000999,0.0,0.0
claude-sonnet-4.6,Conscientiousness,5000,5000,0.54598,0.000999000999000999,0.5612828948043936,0.4966,0.0,7696.795474713452,0.0,-0.1354593953376937,1.8107373943922527,-0.3920600913012846,7.704874148830147,0.000999000999000999,0.0,0.0
claude-sonnet-4.6,Openness,5000,5000,0.48563999999999996,0.000999000999000999,0.5436760211743755,0.49679999999999996,0.0,9161.787808960986,0.0,-0.4236297458273536,5.612812478149959,-0.15128827121623623,31.09540953217244,0.000999000999000999,0.0,0.0
deepseek-v3.2,Extraversion,5000,5000,0.55358,0.000999000999000999,0.5031511343522939,0.29999999999999993,4.880682549003142e-200,840.0119437121244,2.038738504966581e-177,0.07319083151772872,-0.5847147745099929,-0.7620899797517318,-0.13775354896506542,0.000999000999000999,5.422980610003491e-200,2.265265005518423e-177
deepseek-v3.2,Emotional_Stability,5000,5000,0.61078,0.000999000999000999,0.5668502659433089,0.40299999999999997,0.0,166.40956740079042,9.003325177792317e-38,0.09261457334285755,-0.7937841609032783,-0.6327363979756493,-0.04825635780181203,0.000999000999000999,0.0,9.234179669530582e-38
deepseek-v3.2,Agreeableness,5000,5000,0.85936,0.000999000999000999,0.8675741167185661,0.6002,0.0,2783.7000073117865,0.0,-0.6190750324796673,-1.018206539104672,0.1899856081671505,0.6635888540001162,0.000999000999000999,0.0,0.0
deepseek-v3.2,Conscientiousness,5000,5000,0.7636000000000001,0.000999000999000999,0.7441526295055336,0.5026,0.0,938.2200169938774,5.0491024514176496e-197,-0.08770177190129172,-0.8592724890113345,-0.3738167126948353,1.5140480633962694,0.000999000999000999,0.0,5.770402801620172e-197
deepseek-v3.2,Openness,5000,5000,0.44728,0.000999000999000999,0.5006172030603823,0.3822,0.0,1829.5202764782262,0.0,-0.45257396122208227,-0.43402450740199433,-0.16001282914939896,-0.054617589338158634,0.000999000999000999,0.0,0.0
gemini-3-flash-preview,Extraversion,5000,5000,0.54186,0.000999000999000999,0.4791408728129964,0.3822,0.0,1546.7569054537616,0.0,0.10147331256476975,-0.8827689121232146,-0.7274613977359046,-1.1122336035986564,0.000999000999000999,0.0,0.0
gemini-3-flash-preview,Emotional_Stability,5000,5000,1.15212,0.000999000999000999,1.1079694436219802,0.7939999999999999,0.0,6736.249704628396,0.0,0.08833106898608006,-1.131924355715937,-0.6221549202096925,2.9772723584268865,0.000999000999000999,0.0,0.0
gemini-3-flash-preview,Agreeableness,5000,5000,0.7007000000000002,0.000999000999000999,0.7851070398359706,0.7182,0.0,6682.033449990678,0.0,-0.6876785713544165,1.295092684254296,0.2775930171747052,8.35181936923322,0.000999000999000999,0.0,0.0
gemini-3-flash-preview,Conscientiousness,5000,5000,1.14962,0.000999000999000999,1.182814551821206,0.8872,0.0,7852.890529730828,0.0,-0.09529482758282398,0.24241942775877598,-0.44628059862582115,1.2831633881184379,0.000999000999000999,0.0,0.0
