item,alpha_if_deleted,group,model,trait
EXT1,0.8980598972570023,Human,Human,Extraversion
EXT2,0.8967468981439006,Human,Human,Extraversion
EXT3,0.8991692613679003,Human,Human,Extraversion
EXT4,0.8939639624003172,Human,Human,Extraversion
EXT5,0.8949477308642071,Human,Human,Extraversion
EXT6,0.904298929463746,Human,Human,Extraversion
EXT7,0.8961448639069084,Human,Human,Extraversion
EXT8,0.9034103293485714,Human,Human,Extraversion
EXT9,0.9013174785428724,Human,Human,Extraversion
EXT10,0.8970012369876466,Human,Human,Extraversion
EST1,0.8659825287804297,Human,Human,Emotional_Stability
EST2,0.874677793493981,Human,Human,Emotional_Stability
EST3,0.8731053536983259,Human,Human,Emotional_Stability
EST4,0.8835406123573415,Human,Human,Emotional_Stability
EST5,0.8808968655563789,Human,Human,Emotional_Stability
EST6,0.8649964366822458,Human,Human,Emotional_Stability
EST7,0.8667204066878119,Human,Human,Emotional_Stability
EST8,0.8642809554950155,Human,Human,Emotional_Stability
EST9,0.8699079751952936,Human,Human,Emotional_Stability
EST10,0.8694900022033065,Human,Human,Emotional_Stability
AGR1,0.8448591853122803,Human,Human,Agreeableness
AGR2,0.8382917654790084,Human,Human,Agreeableness
AGR3,0.8593649933639288,Human,Human,Agreeableness
AGR4,0.823812389295892,Human,Human,Agreeableness
AGR5,0.830517070543706,Human,Human,Agreeableness
AGR6,0.8400832549753117,Human,Human,Agreeableness
AGR7,0.8307435811224121,Human,Human,Agreeableness
AGR8,0.8388598950732891,Human,Human,Agreeableness
AGR9,0.8297522602054379,Human,Human,Agreeableness
AGR10,0.8484721521380629,Human,Human,Agreeableness
CSN1,0.812753967036425,Human,Human,Conscientiousness
CSN2,0.81804826322088,Human,Human,Conscientiousness
CSN3,0.8330524611265417,Human,Human,Conscientiousness
CSN4,0.8136757159379729,Human,Human,Conscientiousness
CSN5,0.8124325599976695,Human,Human,Conscientiousness
CSN6,0.8102393876111559,Human,Human,Conscientiousness
CSN7,0.8206286588178933,Human,Human,Conscientiousness
CSN8,0.8223983101781106,Human,Human,Conscientiousness
CSN9,0.816166435406793,Human,Human,Conscientiousness
CSN10,0.8287816504260906,Human,Human,Conscientiousness
OPN1,0.7879397834267632,Human,Human,Openness
OPN2,0.786182893727352,Human,Human,Openness
OPN3,0.7921646924245496,Human,Human,Openness
OPN4,0.792469976046982,Human,Human,Openness
OPN5,0.7896827676156679,Human,Human,Openness
OPN6,0.7932975491205454,Human,Human,Openness
OPN7,0.800828807640058,Human,Human,Openness
OPN8,0.7948532033453708,Human,Human,Openness
OPN9,0.8095814850954701,Human,Human,Openness
OPN10,0.7794354148969054,Human,Human,Openness
EXT1,0.9446125312262077,AI,claude-haiku-4.5,Extraversion
EXT2,0.9284975097352804,AI,claude-haiku-4.5,Extraversion
EXT3,0.9864672832630865,AI,claude-haiku-4.5,Extraversion
EXT4,0.9294024199402631,AI,claude-haiku-4.5,Extraversion
EXT5,0.9288122486026505,AI,claude-haiku-4.5,Extraversion
EXT6,0.9288916949604695,AI,claude-haiku-4.5,Extraversion
EXT7,0.9289966578346915,AI,claude-haiku-4.5,Extraversion
EXT8,0.9295226347786303,AI,claude-haiku-4.5,Extraversion
EXT9,0.9285136110552894,AI,claude-haiku-4.5,Extraversion
EXT10,0.930698462533234,AI,claude-haiku-4.5,Extraversion
EST1,0.940665718716599,AI,claude-haiku-4.5,Emotional_Stability
EST2,0.9383549987462793,AI,claude-haiku-4.5,Emotional_Stability
EST3,0.9415408592815893,AI,claude-haiku-4.5,Emotional_Stability
EST4,0.9382758898153416,AI,claude-haiku-4.5,Emotional_Stability
EST5,0.9191598420201847,AI,claude-haiku-4.5,Emotional_Stability
EST6,0.9189647590433678,AI,claude-haiku-4.5,Emotional_Stability
EST7,0.9259580323064259,AI,claude-haiku-4.5,Emotional_Stability
EST8,0.9207192751572593,AI,claude-haiku-4.5,Emotional_Stability
EST9,0.9189648240964857,AI,claude-haiku-4.5,Emotional_Stability
EST10,0.9197132013696285,AI,claude-haiku-4.5,Emotional_Stability
AGR1,0.6453216110209656,AI,claude-haiku-4.5,Agreeableness
AGR2,0.6415345819752252,AI,claude-haiku-4.5,Agreeableness
AGR3,0.6018732562400271,AI,claude-haiku-4.5,Agreeableness
AGR4,0.6415345819752252,AI,claude-haiku-4.5,Agreeableness
AGR5,0.6438878087224299,AI,claude-haiku-4.5,Agreeableness
AGR6,0.6411303369519249,AI,claude-haiku-4.5,Agreeableness
AGR7,0.6397671346331971,AI,claude-haiku-4.5,Agreeableness
AGR8,0.6390798619897771,AI,claude-haiku-4.5,Agreeableness
AGR9,0.6443357046074525,AI,claude-haiku-4.5,Agreeableness
AGR10,0.8912650470689103,AI,claude-haiku-4.5,Agreeableness
CSN1,0.8896598033329436,AI,claude-haiku-4.5,Conscientiousness
CSN2,0.8906974301417254,AI,claude-haiku-4.5,Conscientiousness
CSN3,0.9195604552903814,AI,claude-haiku-4.5,Conscientiousness
CSN4,0.9181478069863807,AI,claude-haiku-4.5,Conscientiousness
CSN5,0.8904337207622196,AI,claude-haiku-4.5,Conscientiousness
CSN6,0.89464388795753,AI,claude-haiku-4.5,Conscientiousness
CSN7,0.9188745070978033,AI,claude-haiku-4.5,Conscientiousness
CSN8,0.9191675511414648,AI,claude-haiku-4.5,Conscientiousness
CSN9,0.9014839570120093,AI,claude-haiku-4.5,Conscientiousness
CSN10,0.8941170318367399,AI,claude-haiku-4.5,Conscientiousness
OPN1,0.7960480874813278,AI,claude-haiku-4.5,Openness
OPN2,0.833316696350864,AI,claude-haiku-4.5,Openness
OPN3,0.8322313023881015,AI,claude-haiku-4.5,Openness
OPN4,0.8333280764056701,AI,claude-haiku-4.5,Openness
