model,trait,human_mean,ai_mean,mean_diff_human_minus_ai,p_fdr,hedges_g
claude-haiku-4.5,Agreeableness,3.785684926992648,4.04422,-0.25853507300735235,0.0,-0.36151938768173364
claude-sonnet-4.6,Agreeableness,3.785684926992648,4.074269999999999,-0.2885850730073516,0.0,-0.4035794148734682
deepseek-v3.2,Agreeableness,3.785684926992648,4.64003,-0.8543450730073525,0.0,-1.19318433354698
gemini-3-flash-preview,Agreeableness,3.785684926992648,4.40799,-0.622305073007352,0.0,-0.8702358342480302
gemini-3.1-flash-lite-preview,Agreeableness,3.785684926992648,4.190180000000001,-0.4044950730073529,0.0,-0.5652935727393336
gpt-5.4,Agreeableness,3.785684926992648,4.69615,-0.9104650730073525,0.0,-1.2729848319449049
gpt-5.4-mini,Agreeableness,3.785684926992648,4.15025,-0.36456507300735197,0.0,-0.5096042031809539
gpt-5.4-nano,Agreeableness,3.785684926992648,4.044040000000001,-0.25835507300735294,0.0,-0.36128284857454
claude-haiku-4.5,Conscientiousness,3.349078595494735,4.0145800000000005,-0.6655014045052656,0.0,-0.9152902352641683
claude-sonnet-4.6,Conscientiousness,3.349078595494735,3.5427199999999996,-0.1936414045052648,0.0,-0.26650744641063767
deepseek-v3.2,Conscientiousness,3.349078595494735,4.11538,-0.7663014045052652,0.0,-1.0503112833662043
gemini-3-flash-preview,Conscientiousness,3.349078595494735,4.48653,-1.1374514045052653,0.0,-1.5654569166285925
gemini-3.1-flash-lite-preview,Conscientiousness,3.349078595494735,4.11105,-0.7619714045052648,0.0,-1.0483706530120513
gpt-5.4,Conscientiousness,3.349078595494735,4.0403199999999995,-0.6912414045052646,0.0,-0.9511031759531503
gpt-5.4-mini,Conscientiousness,3.349078595494735,3.99629,-0.6472114045052653,0.0,-0.8906018026147114
gpt-5.4-nano,Conscientiousness,3.349078595494735,3.9902699999999998,-0.6411914045052649,0.0,-0.8823574568059072
claude-haiku-4.5,Emotional_Stability,2.920191810314697,3.23017,-0.3099781896853031,0.0,-0.36494732633668714
claude-sonnet-4.6,Emotional_Stability,2.920191810314697,3.5003800000000003,-0.5801881896853032,0.0,-0.6840198770257332
deepseek-v3.2,Emotional_Stability,2.920191810314697,3.5156199999999997,-0.5954281896853026,0.0,-0.6960609797035895
gemini-3-flash-preview,Emotional_Stability,2.920191810314697,4.04205,-1.1218581896853026,0.0,-1.3221890136650485
gemini-3.1-flash-lite-preview,Emotional_Stability,2.920191810314697,3.57982,-0.6596281896853027,0.0,-0.7767092444791975
gpt-5.4,Emotional_Stability,2.920191810314697,3.03683,-0.11663818968530304,4.547365277777524e-54,-0.13650161574768338
gpt-5.4-mini,Emotional_Stability,2.920191810314697,3.8933399999999994,-0.9731481896853023,0.0,-1.146254985671099
gpt-5.4-nano,Emotional_Stability,2.920191810314697,3.1971700000000003,-0.2769781896853032,0.0,-0.3255820487599747
claude-haiku-4.5,Extraversion,2.9197044954793556,3.01032,-0.09061550452064449,1.2189744236591218e-270,-0.10022249690487506
claude-sonnet-4.6,Extraversion,2.9197044954793556,2.82436,0.09534449547935564,0.0,0.10551062038371639
deepseek-v3.2,Extraversion,2.9197044954793556,3.4308199999999998,-0.5111155045206441,0.0,-0.5629581126713484
gemini-3-flash-preview,Extraversion,2.9197044954793556,3.1713,-0.2515955045206444,0.0,-0.27748577520254025
gemini-3.1-flash-lite-preview,Extraversion,2.9197044954793556,3.01087,-0.09116550452064454,1.3785614407213218e-45,-0.1004160875030756
gpt-5.4,Extraversion,2.9197044954793556,2.3908499999999995,0.5288544954793561,0.0,0.5841272391315325
gpt-5.4-mini,Extraversion,2.9197044954793556,3.7445399999999993,-0.8248355045206437,0.0,-0.9110679514658679
gpt-5.4-nano,Extraversion,2.9197044954793556,2.8861899999999996,0.03351449547935603,1.8351162540255754e-07,0.03691407075115145
claude-haiku-4.5,Openness,3.9597118451457254,3.8787499999999993,0.08096184514572613,0.0,0.13561275712690551
claude-sonnet-4.6,Openness,3.9597118451457254,3.9028099999999992,0.05690184514572616,0.0,0.09534592153559988
deepseek-v3.2,Openness,3.9597118451457254,4.408510000000001,-0.4487981548542752,0.0,-0.7501639882043458
gemini-3-flash-preview,Openness,3.9597118451457254,4.8175099999999995,-0.8577981548542741,0.0,-1.4365038663506744
gemini-3.1-flash-lite-preview,Openness,3.9597118451457254,4.15276,-0.1930481548542744,0.0,-0.3229893146995094
gpt-5.4,Openness,3.9597118451457254,4.29988,-0.34016815485427454,0.0,-0.5691977550560599
gpt-5.4-mini,Openness,3.9597118451457254,3.98181,-0.022098154854274465,2.614667277645389e-34,-0.037002676512358675
gpt-5.4-nano,Openness,3.9597118451457254,3.9849099999999997,-0.025198154854274346,2.6867801290796696e-78,-0.042210454587888156
