model,trait,wasserstein,wasserstein_perm_p_fdr,energy_distance,ks_p_fdr,brown_forsythe_p_fdr
claude-haiku-4.5,Extraversion,0.68116,0.000999000999000999,0.6077764852312073,0.0,0.0
claude-haiku-4.5,Emotional_Stability,0.49548,0.000999000999000999,0.5185560876125167,0.0,0.0
claude-haiku-4.5,Agreeableness,0.5423600000000001,0.000999000999000999,0.5519647090167994,0.0,0.0
claude-haiku-4.5,Conscientiousness,0.7869199999999998,0.000999000999000999,0.8263852660835622,0.0,0.0
claude-haiku-4.5,Openness,0.47028000000000003,0.000999000999000999,0.5197552654855937,0.0,0.0
claude-sonnet-4.6,Extraversion,0.7526999999999999,0.000999000999000999,0.6689153788036272,0.0,0.0
claude-sonnet-4.6,Emotional_Stability,0.8467,0.000999000999000999,0.843247242509574,0.0,0.0
claude-sonnet-4.6,Agreeableness,0.55118,0.000999000999000999,0.5649026464799046,0.0,0.0
claude-sonnet-4.6,Conscientiousness,0.54598,0.000999000999000999,0.5612828948043936,0.0,0.0
claude-sonnet-4.6,Openness,0.48563999999999996,0.000999000999000999,0.5436760211743755,0.0,0.0
deepseek-v3.2,Extraversion,0.55358,0.000999000999000999,0.5031511343522939,5.422980610003491e-200,2.265265005518423e-177
deepseek-v3.2,Emotional_Stability,0.61078,0.000999000999000999,0.5668502659433089,0.0,9.234179669530582e-38
deepseek-v3.2,Agreeableness,0.85936,0.000999000999000999,0.8675741167185661,0.0,0.0
deepseek-v3.2,Conscientiousness,0.7636000000000001,0.000999000999000999,0.7441526295055336,0.0,5.770402801620172e-197
deepseek-v3.2,Openness,0.44728,0.000999000999000999,0.5006172030603823,0.0,0.0
gemini-3-flash-preview,Extraversion,0.54186,0.000999000999000999,0.4791408728129964,0.0,0.0
gemini-3-flash-preview,Emotional_Stability,1.15212,0.000999000999000999,1.1079694436219802,0.0,0.0
gemini-3-flash-preview,Agreeableness,0.7007000000000002,0.000999000999000999,0.7851070398359706,0.0,0.0
gemini-3-flash-preview,Conscientiousness,1.14962,0.000999000999000999,1.182814551821206,0.0,0.0
gemini-3-flash-preview,Openness,0.8643800000000001,0.000999000999000999,0.9784674424833975,0.0,0.0
gemini-3.1-flash-lite-preview,Extraversion,0.3655399999999999,0.000999000999000999,0.3250689896006692,4.16152513709159e-122,2.005330449152199e-158
gemini-3.1-flash-lite-preview,Emotional_Stability,0.7442,0.000999000999000999,0.7552007415250598,0.0,0.0
gemini-3.1-flash-lite-preview,Agreeableness,0.5087999999999998,0.000999000999000999,0.5760236245155226,0.0,0.0
gemini-3.1-flash-lite-preview,Conscientiousness,0.7985399999999998,0.000999000999000999,0.8945751751529883,0.0,0.0
gemini-3.1-flash-lite-preview,Openness,0.33492,0.000999000999000999,0.3916729043474925,0.0,0.0
gpt-5.4,Extraversion,0.7135600000000002,0.000999000999000999,0.6712068056865933,0.0,0.0
gpt-5.4,Emotional_Stability,0.32238000000000006,0.000999000999000999,0.2794101358218775,2.3453335679029604e-89,1.3505331791978003e-08
gpt-5.4,Agreeableness,0.9147199999999999,0.000999000999000999,0.9703590510733643,0.0,0.0
gpt-5.4,Conscientiousness,0.7408599999999999,0.000999000999000999,0.8271753816452712,0.0,0.0
gpt-5.4,Openness,0.41011999999999993,0.000999000999000999,0.47405618232441604,0.0,0.0
gpt-5.4-mini,Extraversion,0.938,0.000999000999000999,0.8605975505426449,0.0,0.0
gpt-5.4-mini,Emotional_Stability,1.0609600000000001,0.000999000999000999,1.02510346794848,0.0,0.0
gpt-5.4-mini,Agreeableness,0.5164999999999997,0.000999000999000999,0.5627207549042418,0.0,0.0
gpt-5.4-mini,Conscientiousness,0.7664000000000001,0.000999000999000999,0.8416682862030622,0.0,0.0
gpt-5.4-mini,Openness,0.39669999999999994,0.000999000999000999,0.43451316205611085,0.0,0.0
gpt-5.4-nano,Extraversion,0.2748,0.000999000999000999,0.24439188202556975,7.99515872595022e-61,3.3227189824335096e-90
gpt-5.4-nano,Emotional_Stability,0.43166000000000004,0.000999000999000999,0.39301241710663554,8.245123412341997e-175,0.0
gpt-5.4-nano,Agreeableness,0.5452,0.000999000999000999,0.5481703384897801,0.0,0.0
gpt-5.4-nano,Conscientiousness,0.7492,0.000999000999000999,0.8110666951613782,0.0,0.0
gpt-5.4-nano,Openness,0.42208,0.000999000999000999,0.4538985789799304,5.892392340092041e-297,0.0
