model,trait,human_alpha,ai_alpha,alpha_diff_ai_minus_human,alpha_diff_ci_low,alpha_diff_ci_high,alpha_perm_p_fdr,human_omega,ai_omega,omega_diff_ai_minus_human,omega_diff_ci_low,omega_diff_ci_high,omega_perm_p_fdr
claude-haiku-4.5,Agreeableness,0.8524903278988193,0.6804178794904915,-0.1720724484083278,,,,0.8599662993163675,0.925051678530379,0.06508537921401147,,,
claude-sonnet-4.6,Agreeableness,0.8524903278988193,0.06798989999776671,-0.7845004279010526,,,,0.8599662993163675,0.6470702902287035,-0.21289600908766393,,,
deepseek-v3.2,Agreeableness,0.8524903278988193,0.825225076057111,-0.02726525184170825,,,,0.8599662993163675,0.8327665010559797,-0.027199798260387764,,,
gemini-3-flash-preview,Agreeableness,0.8524903278988193,0.6980362822473692,-0.15445404565145004,,,,0.8599662993163675,0.675324398213376,-0.1846419011029915,,,
gemini-3.1-flash-lite-preview,Agreeableness,0.8524903278988193,0.8795368129451382,0.027046485046318902,,,,0.8599662993163675,0.8941348868036412,0.034168587487273694,,,
gpt-5.4,Agreeableness,0.8524903278988193,0.554788678119512,-0.29770164977930724,,,,0.8599662993163675,0.5565482225636342,-0.30341807675273325,,,
gpt-5.4-mini,Agreeableness,0.8524903278988193,0.8360305867126516,-0.016459741186167665,,,,0.8599662993163675,0.9434084454879026,0.08344214617153511,,,
gpt-5.4-nano,Agreeableness,0.8524903278988193,0.26953347421263063,-0.5829568536861887,,,,0.8599662993163675,0.2795610504130809,-0.5804052489032866,,,
claude-haiku-4.5,Conscientiousness,0.83421774114895,0.9135875828673713,0.07936984171842132,,,,0.8344180098030979,0.9247726054176808,0.09035459561458292,,,
claude-sonnet-4.6,Conscientiousness,0.83421774114895,0.4578859974065086,-0.3763317437424414,,,,0.8344180098030979,,,,,
deepseek-v3.2,Conscientiousness,0.83421774114895,0.8947827647621538,0.06056502361320382,,,,0.8344180098030979,0.8979878564022595,0.06356984659916165,,,
gemini-3-flash-preview,Conscientiousness,0.83421774114895,0.294923381494406,-0.539294359654544,,,,0.8344180098030979,0.43361689944666204,-0.40080111035643584,,,
gemini-3.1-flash-lite-preview,Conscientiousness,0.83421774114895,0.7995322747923221,-0.034685466356627837,,,,0.8344180098030979,0.8104383710836615,-0.023979638719436425,,,
gpt-5.4,Conscientiousness,0.83421774114895,0.6804814744504253,-0.1537362666985247,,,,0.8344180098030979,0.7248499590585973,-0.1095680507445006,,,
gpt-5.4-mini,Conscientiousness,0.83421774114895,0.8718709437858342,0.03765320263688421,,,,0.8344180098030979,,,,,
gpt-5.4-nano,Conscientiousness,0.83421774114895,0.27239640428703504,-0.5618213368619149,,,,0.8344180098030979,0.34122266344928426,-0.4931953463538136,,,
claude-haiku-4.5,Emotional_Stability,0.8828983639640605,0.9358664157417714,0.05296805177771091,,,,0.8842305863598787,0.9358113114769971,0.05158072511711842,,,
claude-sonnet-4.6,Emotional_Stability,0.8828983639640605,0.0018436705637251787,-0.8810546934003354,,,,0.8842305863598787,0.004384902744283229,-0.8798456836155955,,,
deepseek-v3.2,Emotional_Stability,0.8828983639640605,0.9641036018481424,0.08120523788408185,,,,0.8842305863598787,0.9648497075811654,0.08061912122128667,,,
gemini-3-flash-preview,Emotional_Stability,0.8828983639640605,0.7241289920557851,-0.15876937190827545,,,,0.8842305863598787,0.8032802695501637,-0.08095031680971498,,,
gemini-3.1-flash-lite-preview,Emotional_Stability,0.8828983639640605,0.9093026936584666,0.026404329694406092,,,,0.8842305863598787,0.9168277297974529,0.03259714343757414,,,
gpt-5.4,Emotional_Stability,0.8828983639640605,0.9808868846095431,0.09798852064548258,,,,0.8842305863598787,0.9850902568993595,0.10085967053948075,,,
gpt-5.4-mini,Emotional_Stability,0.8828983639640605,0.9566676554407455,0.07376929147668498,,,,0.8842305863598787,0.9659980600473808,0.08176747368750203,,,
gpt-5.4-nano,Emotional_Stability,0.8828983639640605,0.9262278654148001,0.04332950145073955,,,,0.8842305863598787,0.9328668291649326,0.04863624280505385,,,
claude-haiku-4.5,Extraversion,0.9077708834721376,0.9426517765593131,0.03488089308717546,,,,0.9086292156654785,0.9766432926241734,0.06801407695869488,,,
claude-sonnet-4.6,Extraversion,0.9077708834721376,0.0007793126213470923,-0.9069915708507905,,,,0.9086292156654785,0.638540459692716,-0.2700887559727625,,,
deepseek-v3.2,Extraversion,0.9077708834721376,0.9294253651953688,0.021654481723231145,,,,0.9086292156654785,0.9334436482386582,0.024814432573179723,,,
gemini-3-flash-preview,Extraversion,0.9077708834721376,0.9697176809281399,0.06194679745600229,,,,0.9086292156654785,0.9805419050841792,0.07191268941870066,,,
gemini-3.1-flash-lite-preview,Extraversion,0.9077708834721376,0.973692071811679,0.06592118833954141,,,,0.9086292156654785,0.9849812361504757,0.07635202048499723,,,
gpt-5.4,Extraversion,0.9077708834721376,0.9541878972749773,0.04641701380283969,,,,0.9086292156654785,,,,,
gpt-5.4-mini,Extraversion,0.9077708834721376,0.9405175095250045,0.03274662605286682,,,,0.9086292156654785,0.9463173893559484,0.03768817369046995,,,
gpt-5.4-nano,Extraversion,0.9077708834721376,0.9445877288026989,0.03681684533056129,,,,0.9086292156654785,0.9489277928362589,0.04029857717078045,,,
claude-haiku-4.5,Openness,0.8096378078234657,0.8382179815748667,0.028580173751400983,,,,0.8121452923166776,0.8911778318933773,0.07903253957669965,,,
claude-sonnet-4.6,Openness,0.8096378078234657,0.0345558252249044,-0.7750819825985613,,,,0.8121452923166776,,,,,
deepseek-v3.2,Openness,0.8096378078234657,0.8213427650753211,0.011704957251855386,,,,0.8121452923166776,0.8233289686999907,0.01118367638331308,,,
gemini-3-flash-preview,Openness,0.8096378078234657,0.7630026975880327,-0.046635110235432986,,,,0.8121452923166776,0.7630661411110383,-0.049079151205639326,,,
gemini-3.1-flash-lite-preview,Openness,0.8096378078234657,0.8174692634099066,0.007831455586440828,,,,0.8121452923166776,0.8704520697070817,0.05830677739040402,,,
gpt-5.4,Openness,0.8096378078234657,0.8249514604056053,0.01531365258213957,,,,0.8121452923166776,0.8128765733679767,0.0007312810512990486,,,
gpt-5.4-mini,Openness,0.8096378078234657,0.7571525153141193,-0.052485292509346415,,,,0.8121452923166776,,,,,
gpt-5.4-nano,Openness,0.8096378078234657,0.2830992072982203,-0.5265386005252455,,,,0.8121452923166776,0.41751848328267066,-0.394626809034007,,,
